row_id,week_date,month,sku,category,region,channel,promo_type,discount_pct,baseline_units,actual_units_sold,selling_price,revenue,promo_cost,incremental_units,incremental_revenue,is_promo
22,2023-05-29,5,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Display + Discount,15,2076.5,4043,38.25,154644.75,27290.25,1966.49,61201.71,1
23,2023-06-05,6,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Light Discount (10%),10,2412.5,2881,40.5,116680.5,12964.5,468.51,8118.43,1
24,2023-06-12,6,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Light Discount (10%),10,2283.4,2910,40.5,117855.0,13095.0,626.63,15103.38,1
25,2023-06-19,6,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,2023.1,2023,45.0,91035.0,0,0,0,0
26,2023-06-26,6,Cola 500ml,Carbonated Drinks,North India,Modern Trade,BOGO (Buy One Get One),50,2142.0,5003,22.5,112567.5,112567.5,2861.0,16177.53,1
27,2023-07-03,7,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,2014.7,2014,45.0,90630.0,0,0,0,0
28,2023-07-10,7,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Medium Discount (20%),20,2477.0,3762,36.0,135432.0,33858.0,1285.05,23969.06,1
29,2023-07-17,7,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Light Discount (10%),10,2407.6,3201,40.5,129640.5,14404.5,793.42,21299.36,1
30,2023-07-24,7,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Display + Discount,15,2223.1,4674,38.25,178780.5,31549.5,2450.89,78740.75,1
31,2023-07-31,7,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Display + Discount,15,2349.0,4861,38.25,185933.25,32811.75,2512.0,80228.15,1
32,2023-08-07,8,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,2121.5,2121,45.0,95445.0,0,0,0,0
33,2023-08-14,8,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Deep Discount (30%),30,1980.5,3411,31.5,107446.5,46048.5,1430.53,18325.16,1
34,2023-08-21,8,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Medium Discount (20%),20,2384.8,3686,36.0,132696.0,33174.0,1301.17,25378.55,1
35,2023-08-28,8,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Deep Discount (30%),30,1907.7,3392,31.5,106848.0,45792.0,1484.33,21002.75,1
36,2023-09-04,9,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,1866.5,1866,45.0,83970.0,0,0,0,0
37,2023-09-11,9,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,1819.8,1819,45.0,81855.0,0,0,0,0
38,2023-09-18,9,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Display + Discount,15,2053.7,3991,38.25,152655.75,26939.25,1937.25,60237.07,1
39,2023-09-25,9,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,2176.0,2175,45.0,97875.0,0,0,0,0
40,2023-10-02,10,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Medium Discount (20%),20,1695.6,2507,36.0,90252.0,22563.0,811.44,13951.78,1
41,2023-10-09,10,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Deep Discount (30%),30,2150.0,4220,31.5,132930.0,56970.0,2070.03,36181.29,1
42,2023-10-16,10,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Light Discount (10%),10,1931.3,2445,40.5,99022.5,11002.5,513.75,12116.13,1
43,2023-10-23,10,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Deep Discount (30%),30,1861.3,3462,31.5,109053.0,46737.0,1600.73,25295.69,1
44,2023-10-30,10,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,2134.0,2133,45.0,95985.0,0,0,0,0
45,2023-11-06,11,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Light Discount (10%),10,2834.6,3273,40.5,132556.5,14728.5,438.43,5000.73,1
46,2023-11-13,11,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Light Discount (10%),10,2602.5,3436,40.5,139158.0,15462.0,833.53,22046.86,1
47,2023-11-20,11,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Light Discount (10%),10,2313.1,2847,40.5,115303.5,12811.5,533.92,11215.06,1
48,2023-11-27,11,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Display + Discount,15,2798.4,5136,38.25,196452.0,34668.0,2337.63,70525.24,1
49,2023-12-04,12,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,2556.0,2556,45.0,115020.0,0,0,0,0
50,2023-12-11,12,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,2597.0,2596,45.0,116820.0,0,0,0,0
51,2023-12-18,12,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Light Discount (10%),10,2584.5,3250,40.5,131625.0,14625.0,665.51,15322.87,1
52,2023-12-25,12,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,2905.2,2905,45.0,130725.0,0,0,0,0
53,2023-01-02,1,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1381.5,1381,45.0,62145.0,0,0,0,0
54,2023-01-09,1,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Medium Discount (20%),20,1549.1,2226,36.0,80136.0,20034.0,676.92,10427.21,1
55,2023-01-16,1,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Medium Discount (20%),20,1697.4,2746,36.0,98856.0,24714.0,1048.65,22475.17,1
56,2023-01-23,1,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Medium Discount (20%),20,1300.8,2004,36.0,72144.0,18036.0,703.17,13606.63,1
57,2023-01-30,1,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1647.0,1647,45.0,74115.0,0,0,0,0
58,2023-02-06,2,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Medium Discount (20%),20,1363.2,2179,36.0,78444.0,19611.0,815.83,17101.34,1
59,2023-02-13,2,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1270.0,1269,45.0,57105.0,0,0,0,0
60,2023-02-20,2,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1649.3,1649,45.0,74205.0,0,0,0,0
61,2023-02-27,2,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1494.1,1494,45.0,67230.0,0,0,0,0
62,2023-03-06,3,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1665.0,1665,45.0,74925.0,0,0,0,0
63,2023-03-13,3,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Medium Discount (20%),20,1842.4,2768,36.0,99648.0,24912.0,925.6,16740.06,1
64,2023-03-20,3,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Light Discount (10%),10,1628.5,2055,40.5,83227.5,9247.5,426.55,9947.21,1
65,2023-03-27,3,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1768.5,1768,45.0,79560.0,0,0,0,0
66,2023-04-03,4,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1612.6,1612,45.0,72540.0,0,0,0,0
67,2023-04-10,4,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1488.8,1488,45.0,66960.0,0,0,0,0
68,2023-04-17,4,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Medium Discount (20%),20,1838.7,2826,36.0,101736.0,25434.0,987.27,18993.27,1
69,2023-04-24,4,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Light Discount (10%),10,1460.0,1867,40.5,75613.5,8401.5,407.01,9914.06,1
70,2023-05-01,5,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1804.9,1804,45.0,81180.0,0,0,0,0
71,2023-05-08,5,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1647.6,1647,45.0,74115.0,0,0,0,0
72,2023-05-15,5,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1659.3,1659,45.0,74655.0,0,0,0,0
73,2023-05-22,5,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Medium Discount (20%),20,1916.0,2948,36.0,106128.0,26532.0,1031.97,19906.73,1
74,2023-05-29,5,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1733.8,1733,45.0,77985.0,0,0,0,0
75,2023-06-05,6,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Light Discount (10%),10,2208.6,2577,40.5,104368.5,11596.5,368.44,4983.33,1
76,2023-06-12,6,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1934.4,1934,45.0,87030.0,0,0,0,0
77,2023-06-19,6,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Deep Discount (30%),30,2101.7,3967,31.5,124960.5,53554.5,1865.25,30381.94,1
78,2023-06-26,6,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Medium Discount (20%),20,2036.9,3338,36.0,120168.0,30042.0,1301.11,28507.98,1
79,2023-07-03,7,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Light Discount (10%),10,2083.5,2498,40.5,101169.0,11241.0,414.53,7413.05,1
80,2023-07-10,7,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,BOGO (Buy One Get One),50,1907.5,4467,22.5,100507.5,100507.5,2559.52,14671.12,1
81,2023-07-17,7,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Deep Discount (30%),30,2249.8,4487,31.5,141340.5,60574.5,2237.2,40099.41,1
82,2023-07-24,7,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1864.0,1864,45.0,83880.0,0,0,0,0
83,2023-07-31,7,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1765.0,1764,45.0,79380.0,0,0,0,0
84,2023-08-07,8,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1790.5,1790,45.0,80550.0,0,0,0,0
85,2023-08-14,8,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Medium Discount (20%),20,1881.7,2733,36.0,98388.0,24597.0,851.27,13710.04,1
86,2023-08-21,8,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Display + Discount,15,2019.7,3752,38.25,143514.0,25326.0,1732.32,52628.43,1
87,2023-08-28,8,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1984.1,1984,45.0,89280.0,0,0,0,0
88,2023-09-04,9,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1875.5,1875,45.0,84375.0,0,0,0,0
89,2023-09-11,9,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1823.0,1823,45.0,82035.0,0,0,0,0
90,2023-09-18,9,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Light Discount (10%),10,1503.1,1908,40.5,77274.0,8586.0,404.87,9632.99,1
91,2023-09-25,9,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1591.9,1591,45.0,71595.0,0,0,0,0
92,2023-10-02,10,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1673.4,1673,45.0,75285.0,0,0,0,0
93,2023-10-09,10,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1539.1,1539,45.0,69255.0,0,0,0,0
94,2023-10-16,10,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1546.3,1546,45.0,69570.0,0,0,0,0
95,2023-10-23,10,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1864.6,1864,45.0,83880.0,0,0,0,0
96,2023-10-30,10,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Medium Discount (20%),20,1459.6,2262,36.0,81432.0,20358.0,802.42,15750.78,1
97,2023-11-06,11,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,2224.3,2224,45.0,100080.0,0,0,0,0
98,2023-11-13,11,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,1836.3,1836,45.0,82620.0,0,0,0,0
99,2023-11-20,11,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,2031.1,2031,45.0,91395.0,0,0,0,0
100,2023-11-27,11,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Deep Discount (30%),30,2070.6,3606,31.5,113589.0,48681.0,1535.4,20412.04,1
101,2023-12-04,12,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Medium Discount (20%),20,2756.8,4293,36.0,154548.0,38637.0,1536.22,30492.69,1
102,2023-12-11,12,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,No Promotion,0,2278.1,2278,45.0,102510.0,0,0,0,0
103,2023-12-18,12,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Light Discount (10%),10,2306.4,3022,40.5,122391.0,13599.0,715.59,18602.54,1
104,2023-12-25,12,Cola 500ml,Carbonated Drinks,North India,Quick Commerce,Deep Discount (30%),30,2834.3,5565,31.5,175297.5,75127.5,2730.68,47753.16,1
105,2023-01-02,1,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1399.1,1399,45.0,62955.0,0,0,0,0
106,2023-01-09,1,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Deep Discount (30%),30,1466.7,2825,31.5,88987.5,38137.5,1358.32,22986.87,1
107,2023-01-16,1,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1185.1,1185,45.0,53325.0,0,0,0,0
108,2023-01-23,1,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Light Discount (10%),10,1414.8,1760,40.5,71280.0,7920.0,345.2,7614.02,1
109,2023-01-30,1,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Medium Discount (20%),20,1299.2,1939,36.0,69804.0,17451.0,639.84,11341.86,1
110,2023-02-06,2,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1237.5,1237,45.0,55665.0,0,0,0,0
111,2023-02-13,2,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Deep Discount (30%),30,1147.8,1976,31.5,62244.0,26676.0,828.2,10593.2,1
112,2023-02-20,2,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1387.7,1387,45.0,62415.0,0,0,0,0
113,2023-02-27,2,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1143.0,1142,45.0,51390.0,0,0,0,0
114,2023-03-06,3,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1524.3,1524,45.0,68580.0,0,0,0,0
115,2023-03-13,3,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1274.1,1274,45.0,57330.0,0,0,0,0
116,2023-03-20,3,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1406.1,1406,45.0,63270.0,0,0,0,0
117,2023-03-27,3,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Medium Discount (20%),20,1456.5,2105,36.0,75780.0,18945.0,648.49,10236.97,1
118,2023-04-03,4,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Deep Discount (30%),30,1395.1,2391,31.5,75316.5,32278.5,995.9,12537.05,1
119,2023-04-10,4,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1541.1,1541,45.0,69345.0,0,0,0,0
120,2023-04-17,4,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1622.2,1622,45.0,72990.0,0,0,0,0
121,2023-04-24,4,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1686.9,1686,45.0,75870.0,0,0,0,0
122,2023-05-01,5,Cola 500ml,Carbonated Drinks,North India,E-Commerce,BOGO (Buy One Get One),50,1693.0,3717,22.5,83632.5,83632.5,2024.0,7447.51,1
123,2023-05-08,5,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Medium Discount (20%),20,1800.6,2805,36.0,100980.0,25245.0,1004.39,19952.54,1
124,2023-05-15,5,Cola 500ml,Carbonated Drinks,North India,E-Commerce,BOGO (Buy One Get One),50,1833.1,4142,22.5,93195.0,93195.0,2308.9,10705.43,1
125,2023-05-22,5,Cola 500ml,Carbonated Drinks,North India,E-Commerce,BOGO (Buy One Get One),50,1817.0,4375,22.5,98437.5,98437.5,2558.0,16672.29,1
126,2023-05-29,5,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1535.1,1535,45.0,69075.0,0,0,0,0
127,2023-06-05,6,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Light Discount (10%),10,1868.1,2389,40.5,96754.5,10750.5,520.9,12689.95,1
128,2023-06-12,6,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1959.3,1959,45.0,88155.0,0,0,0,0
129,2023-06-19,6,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Deep Discount (30%),30,1582.4,3160,31.5,99540.0,42660.0,1577.58,28330.95,1
130,2023-06-26,6,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Light Discount (10%),10,1878.5,2438,40.5,98739.0,10971.0,559.54,14208.29,1
131,2023-07-03,7,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Deep Discount (30%),30,1694.2,2925,31.5,92137.5,39487.5,1230.82,15899.38,1
132,2023-07-10,7,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1596.6,1596,45.0,71820.0,0,0,0,0
133,2023-07-17,7,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Medium Discount (20%),20,1694.1,2470,36.0,88920.0,22230.0,775.89,12685.22,1
134,2023-07-24,7,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1726.3,1726,45.0,77670.0,0,0,0,0
135,2023-07-31,7,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1854.9,1854,45.0,83430.0,0,0,0,0
136,2023-08-07,8,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1921.4,1921,45.0,86445.0,0,0,0,0
137,2023-08-14,8,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Deep Discount (30%),30,1710.0,2972,31.5,93618.0,40122.0,1261.99,16667.58,1
138,2023-08-21,8,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1664.2,1664,45.0,74880.0,0,0,0,0
139,2023-08-28,8,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Medium Discount (20%),20,1831.3,2907,36.0,104652.0,26163.0,1075.69,22242.97,1
140,2023-09-04,9,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1447.0,1446,45.0,65070.0,0,0,0,0
141,2023-09-11,9,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1374.0,1373,45.0,61785.0,0,0,0,0
142,2023-09-18,9,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1272.0,1272,45.0,57240.0,0,0,0,0
143,2023-09-25,9,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Light Discount (10%),10,1612.2,2091,40.5,84685.5,9409.5,478.78,12135.66,1
144,2023-10-02,10,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Medium Discount (20%),20,1752.1,2662,36.0,95832.0,23958.0,909.89,16987.24,1
145,2023-10-09,10,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1299.0,1298,45.0,58410.0,0,0,0,0
146,2023-10-16,10,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Light Discount (10%),10,1561.2,2106,40.5,85293.0,9477.0,544.83,15040.26,1
147,2023-10-23,10,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1401.3,1401,45.0,63045.0,0,0,0,0
148,2023-10-30,10,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Medium Discount (20%),20,1518.3,2185,36.0,78660.0,19665.0,666.68,10335.8,1
149,2023-11-06,11,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,2116.6,2116,45.0,95220.0,0,0,0,0
150,2023-11-13,11,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,1863.9,1863,45.0,83835.0,0,0,0,0
151,2023-11-20,11,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Light Discount (10%),10,2039.4,2698,40.5,109269.0,12141.0,658.56,17494.22,1
152,2023-11-27,11,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Medium Discount (20%),20,1855.5,2761,36.0,99396.0,24849.0,905.54,15900.37,1
153,2023-12-04,12,Cola 500ml,Carbonated Drinks,North India,E-Commerce,Medium Discount (20%),20,2446.7,4052,36.0,145872.0,36468.0,1605.26,35768.63,1
154,2023-12-11,12,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,2483.7,2483,45.0,111735.0,0,0,0,0
155,2023-12-18,12,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,2119.5,2119,45.0,95355.0,0,0,0,0
156,2023-12-25,12,Cola 500ml,Carbonated Drinks,North India,E-Commerce,No Promotion,0,2472.5,2472,45.0,111240.0,0,0,0,0
157,2023-01-02,1,Cola 500ml,Carbonated Drinks,North India,Kirana,Light Discount (10%),10,1508.1,1800,40.5,72900.0,8100.0,291.91,5036.03,1
158,2023-01-09,1,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1605.3,1605,45.0,72225.0,0,0,0,0
159,2023-01-16,1,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1696.3,1696,45.0,76320.0,0,0,0,0
160,2023-01-23,1,Cola 500ml,Carbonated Drinks,North India,Kirana,Light Discount (10%),10,1543.0,1834,40.5,74277.0,8253.0,291.03,4843.23,1
161,2023-01-30,1,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1393.4,1393,45.0,62685.0,0,0,0,0
162,2023-02-06,2,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1374.6,1374,45.0,61830.0,0,0,0,0
163,2023-02-13,2,Cola 500ml,Carbonated Drinks,North India,Kirana,Light Discount (10%),10,1327.2,1718,40.5,69579.0,7731.0,390.83,9856.52,1
164,2023-02-20,2,Cola 500ml,Carbonated Drinks,North India,Kirana,Light Discount (10%),10,1523.6,1904,40.5,77112.0,8568.0,380.35,8547.83,1
165,2023-02-27,2,Cola 500ml,Carbonated Drinks,North India,Kirana,Display + Discount,15,1491.2,2971,38.25,113640.75,20054.25,1479.83,46538.08,1
166,2023-03-06,3,Cola 500ml,Carbonated Drinks,North India,Kirana,Light Discount (10%),10,1632.5,1990,40.5,80595.0,8955.0,357.52,7133.33,1
167,2023-03-13,3,Cola 500ml,Carbonated Drinks,North India,Kirana,Medium Discount (20%),20,1770.3,2725,36.0,98100.0,24525.0,954.72,18437.47,1
168,2023-03-20,3,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1559.9,1559,45.0,70155.0,0,0,0,0
169,2023-03-27,3,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1774.1,1774,45.0,79830.0,0,0,0,0
170,2023-04-03,4,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1842.3,1842,45.0,82890.0,0,0,0,0
171,2023-04-10,4,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1790.2,1790,45.0,80550.0,0,0,0,0
172,2023-04-17,4,Cola 500ml,Carbonated Drinks,North India,Kirana,Medium Discount (20%),20,1702.3,2566,36.0,92376.0,23094.0,863.72,15773.38,1
173,2023-04-24,4,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1552.1,1552,45.0,69840.0,0,0,0,0
174,2023-05-01,5,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1960.4,1960,45.0,88200.0,0,0,0,0
175,2023-05-08,5,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1669.9,1669,45.0,75105.0,0,0,0,0
176,2023-05-15,5,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1836.3,1836,45.0,82620.0,0,0,0,0
177,2023-05-22,5,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,2003.2,2003,45.0,90135.0,0,0,0,0
178,2023-05-29,5,Cola 500ml,Carbonated Drinks,North India,Kirana,No Promotion,0,1744.0,1744,45.0,78480.0,0,0,0,0
